subject	model	motion	con	eff_est
sub-54	FixMod	opt1	Lgain-Neut	0.6969307040130539
sub-54	FixMod	opt2	Lgain-Neut	0.6537827015212917
sub-54	FixMod	opt3	Lgain-Neut	0.6026736088158562
sub-54	FixMod	opt4	Lgain-Neut	0.6023210596012214
sub-44	AntMod	opt1	Lgain-Neut	3.766815182891543
sub-44	AntMod	opt2	Lgain-Neut	3.3596863385988938
sub-44	AntMod	opt3	Lgain-Neut	3.1332732527731535
sub-44	AntMod	opt4	Lgain-Neut	3.1332732527731535
sub-44	CueMod	opt1	Lgain-Neut	1.3063034680181134
sub-44	CueMod	opt2	Lgain-Neut	1.1524595588991797
sub-44	CueMod	opt3	Lgain-Neut	1.0819697614828703
sub-44	CueMod	opt4	Lgain-Neut	1.0819697614828703
sub-44	FixMod	opt1	Lgain-Neut	0.7265003000446977
sub-44	FixMod	opt2	Lgain-Neut	0.6584183141979909
sub-44	FixMod	opt3	Lgain-Neut	0.6082949052956073
sub-44	FixMod	opt4	Lgain-Neut	0.6082949052956073
sub-15	AntMod	opt1	Lgain-Neut	3.494886980701686
sub-15	AntMod	opt2	Lgain-Neut	3.172178632462063
sub-15	AntMod	opt3	Lgain-Neut	2.618755465483682
sub-15	AntMod	opt4	Lgain-Neut	2.618755465483682
